category,percentage
Open Source,0.62
Mobile,0.31
Java,29.72
Software Engineering,4.95
Internet,12.69
Web Development,5.26
Miscellaneous,0.62
Microsoft .NET,10.53
Microsoft,2.48
Next Generation Databases,0.31
PowerBuilder,2.17
Client-Server,3.41
Computer Graphics,1.86
Object-Oriented Programming,1.24
S,0.31
Networking,2.17
Theory,2.17
Programming,3.72
Python,1.86
Mobile Technology,1.86
Business,3.72
P,0.31
XML,1.24
Perl,1.86
java,0.31
Microsoft/.NET,0.31
Miscella,0.31
Object-Technology Programming,0.31
,0.62
internet,0.31
.NET,0.31
Algorithmic Art,0.31
PHP,0.31
SOA,0.31
Computer Graph,0.31
Client Server,0.31
In Action,0.31
Software Development,0.31
